ID,AmE_wordform,BrE_wordform,DE_wordform,EP_wordform,ES_wordform,PoS (all),NLD_orthg_AmE_BrE,NLD_orthg_AmE_DE,NLD_orthg_AmE_EP,NLD_orthg_AmE_ES,NLD_orthg_BrE_DE,NLD_orthg_BrE_EP,NLD_orthg_BrE_ES,NLD_orthg_DE_EP,NLD_orthg_DE_ES,NLD_orthg_EP_ES,NLD_phonoL_AmE_BrE,NLD_phonoL_AmE_DE,NLD_phonoL_AmE_EP,NLD_phonoL_AmE_ES,NLD_phonoL_BrE_DE,NLD_phonoL_BrE_EP,NLD_phonoL_BrE_ES,NLD_phonoL_DE_EP,NLD_phonoL_DE_ES,NLD_phonoL_EP_ES,NLD_phonoG_AmE_BrE,NLD_phonoG_AmE_DE,NLD_phonoG_AmE_EP,NLD_phonoG_AmE_ES,NLD_phonoG_BrE_DE,NLD_phonoG_BrE_EP,NLD_phonoG_BrE_ES,NLD_phonoG_DE_EP,NLD_phonoG_DE_ES,NLD_phonoG_EP_ES,AmE_wordform,LEN_orth_AmE,phonetic_t_AmE,LEN_phon_AmE,ANC_abs,ANC_mln,ANC_log10(abs+1),ANC_abs_annotated,ANC_mln_annotated,ANC_log10(abs+1)_annotated,SpecPoS_annotated_ANC,SubtlexUS_abs,SubtlexUS_mln,SubtlexUS_log10(abs+1),SubtlexUS_zipf,BrE_wordform,LEN_orth_BrE,phonetic_t_BrE,LEN_phon_BrE,Celex_abs,Celex_mln,Celex_log10(abs+1),Celex_abs_annotated,Celex_mln_annotated,Celex_log10(abs+1)_annotated,SpecPoS_annotated_Celex,SubtlexUK_abs,SubtlexUK_mln,SubtlexUK_log10(abs+1),SubtlexUK_zipf,DE_wordform,LEN_orth_DE,phonetic_t_DE,LEN_phon_DE,dlexDB_abs,dlexDB_mln,dlexDB_log10(abs+1),dlexDB_abs_annotated,dlexDB_mln_annotated,dlexDB_log10(abs+1)_annotated,SpecPoS_annotated_dlexDB,SubtlexDE_abs,SubtlexDE_mln,SubtlexDE_log10(abs+1),EP_wordform,EP_OA (1990),LEN_orth_EP,phonetic_t_EP,LEN_phon_EP,P-Pal_abs,P-PAL_mln,P-Pal_log10(abs+1),P-Pal_abs_annotated,P-Pal_mln_annotated,P-Pal_log10(abs+1)_annotated,SpecPoS_annotated_P-Pal,SubtlexPT_abs,SubtlexPT_mln,SubtlexPT_log10(abs+1),SubtlexPT_zipf,ES_wordform,LEN_orth_ES,phonetic_t_ES,LEN_phon_ES,Espal_abs,Espal_mln,Espal_log10(abs+1),Espal_abs_annotated,Espal_mln_annotated,Espal_log10(abs+1)_annotated,SpecPoS_annotated_Espal,SubtlexES_abs,SubtlexES_mln,Subtlex_ES_log10(abs+1),
11,abstraction,abstraction,Abstraktion,abstracção,abstracción,N,1.000,0.909,0.727,0.818,0.909,0.727,0.818,0.636,0.727,0.636,1.000,0.768,0.693,0.789,0.768,0.693,0.789,0.567,0.863,0.686,1.000,0.837,0.710,0.803,0.837,0.710,0.803,0.601,0.794,0.661,abstraction,11,æbˈstɹ̠ækʃən,10,59,2.635,1.778,58,2.590,1.771,,15,0.294,1.204,2.496,abstraction,11,æbˈstɹ̠ækʃən,10,70,3.911,1.851,70,3.911,1.851,,135,0.671,2.134,2.829,Abstraktion,11,apstʁakʦjo:n,11,843,6.892,2.926,843,6.892,2.926,,1,0.039,0.301,abstracção,abstração,10,ɐβʃtɾasɐ̃w,9,706,3.449,2.849,706,3.449,2.849,,9,0.115,1.000,2.062,abstracción,11,aβs̺tɾakθjon,11,2280,7.409,3.358,2239,7.276,3.350,,9,0.216,1.000,
12,absurd,absurd,absurd,absurdo,absurdo,ADJ,1.000,1.000,0.857,0.857,1.000,0.857,0.857,0.857,0.857,1.000,0.800,0.723,0.606,0.583,0.828,0.493,0.470,0.534,0.566,0.939,0.897,0.856,0.727,0.714,0.912,0.665,0.652,0.688,0.705,0.970,absurd,6,əbˈsɜɹ̠d,6,235,10.496,2.373,227,10.138,2.358,,495,9.706,2.695,3.987,absurd,6,əbˈsɜ:d,5,450,25.140,2.654,450,25.140,2.654,,1122,5.573,3.050,3.746,absurd,6,apzʊɐt,6,486,3.973,2.688,486,3.973,2.688,,202,7.953,2.307,absurdo,,7,ɐβsuɾðu,7,3184,15.555,3.503,2978,14.549,3.474,,1323,16.957,3.122,4.229,absurdo,7,aβs̺uɾðo,7,4967,16.140,3.696,3625,11.779,3.559,,646,15.529,2.811,
13,abundance,abundance,Fülle,abundância,abundancia,N,1.000,0.111,0.700,0.800,0.111,0.700,0.800,0.000,0.000,0.900,1.000,0.320,0.507,0.638,0.320,0.507,0.638,0.385,0.291,0.723,1.000,0.211,0.600,0.717,0.211,0.600,0.717,0.177,0.136,0.809,abundance,9,əˈbʌndəns,8,402,17.954,2.605,399,17.820,2.602,,45,0.882,1.663,2.955,abundance,9,əˈbʌndəns,8,117,6.536,2.072,117,6.536,2.072,,753,3.740,2.877,3.573,Fülle,5,fʏlə,4,3960,32.373,3.598,3888,31.785,3.590,,35,1.378,1.556,abundância,,10,ɐβũdɐ̃sjɐ,8,1237,6.043,3.093,1237,6.043,3.093,,227,2.910,2.358,3.464,abundancia,10,aβundanθja,10,5511,17.908,3.741,5436,17.664,3.735,,112,2.692,2.053,
14,abuse,abuse,Missbrauch,abuso,abuso,N,1.000,0.200,0.800,0.800,0.200,0.800,0.800,0.200,0.200,1.000,0.960,0.522,0.480,0.448,0.493,0.440,0.408,0.335,0.321,0.915,0.980,0.351,0.632,0.614,0.339,0.610,0.592,0.266,0.259,0.957,abuse,5,əˈbjus,5,1130,50.469,3.053,970,43.323,2.987,,523,10.255,2.719,4.011,abuse,5,əˈbju:s,5,277,15.475,2.444,253,14.134,2.405,,5555,27.591,3.745,4.44,Missbrauch,10,mɪsbʁaʊx,8,27,0.221,1.447,26,0.213,1.431,,61,2.402,1.792,abuso,,5,ɐβuzu,5,3714,18.144,3.570,3486,17.030,3.542,,786,10.074,2.896,4.003,abuso,5,aβus̺o,5,4700,15.273,3.672,4564,14.831,3.659,,520,12.500,2.717,
15,abuse,abuse,Übermaß,abuso,abuso,N,1.000,0.143,0.800,0.800,0.143,0.800,0.800,0.143,0.143,1.000,0.960,0.443,0.480,0.448,0.476,0.440,0.408,0.330,0.345,0.915,0.980,0.284,0.632,0.614,0.299,0.610,0.592,0.233,0.240,0.957,abuse,5,əˈbjus,5,1130,50.469,3.053,970,43.323,2.987,,523,10.255,2.719,4.011,abuse,5,əˈbju:s,5,277,15.475,2.444,253,14.134,2.405,,5555,27.591,3.745,4.44,Übermaß,7,y:bɐma:s,6,360,2.943,2.558,358,2.927,2.555,,21,0.827,1.342,abuso,,5,ɐβuzu,5,3714,18.144,3.570,3486,17.030,3.542,,786,10.074,2.896,4.003,abuso,5,aβus̺o,5,4700,15.273,3.672,4564,14.831,3.659,,520,12.500,2.717,
16,abyss,abyss,Abgrund,abismo,abismo,N,1.000,0.286,0.500,0.500,0.286,0.500,0.500,0.286,0.286,1.000,1.000,0.448,0.526,0.516,0.448,0.526,0.516,0.368,0.386,0.913,1.000,0.365,0.513,0.508,0.365,0.513,0.508,0.326,0.335,0.956,abyss,5,əˈbɪs,4,20,0.893,1.322,19,0.849,1.301,,90,1.765,1.959,3.251,abyss,5,əˈbɪs,4,66,3.687,1.826,66,3.687,1.826,,223,1.108,2.350,3.046,Abgrund,7,apɡʁʊnt,7,981,8.020,2.992,981,8.020,2.992,,136,5.355,2.137,abismo,,6,ɐβiʒmu,6,1456,7.113,3.163,1448,7.074,3.161,,542,6.947,2.735,3.842,abismo,6,aβiz̺mo,6,4099,13.320,3.613,3834,12.459,3.584,,169,4.063,2.230,
17,academic,academic,Akademiker,académico,académico,N,1.000,0.600,0.778,0.778,0.600,0.778,0.778,0.500,0.500,1.000,1.000,0.778,0.783,0.754,0.778,0.783,0.754,0.800,0.892,0.906,1.000,0.686,0.780,0.766,0.686,0.780,0.766,0.643,0.685,0.952,academic,8,ækəˈdɛmɪk,8,834,37.249,2.922,39,1.742,1.602,,238,4.667,2.378,3.670,academic,8,ækəˈdɛmɪk,8,870,48.603,2.940,52,2.905,1.724,,2024,10.053,3.306,4.002,Akademiker,10,akade:mikɐ,9,297,2.428,2.474,297,2.428,2.474,,21,0.827,1.342,académico,,9,ɐkɐðɛmiku,9,1819,8.886,3.260,443,2.164,2.647,,180,2.307,2.258,3.363,académico,9,akaðemiko,9,5406,17.567,3.733,408,1.326,2.612,,157,3.774,2.199,
18,academy,academy,Akademie,academia,academia,N,1.000,0.625,0.750,0.750,0.625,0.750,0.750,0.750,0.750,1.000,0.937,0.831,0.770,0.697,0.853,0.718,0.674,0.707,0.723,0.756,0.968,0.725,0.760,0.723,0.735,0.734,0.712,0.728,0.737,0.874,academy,7,əˈkæɾəmi,7,428,19.116,2.632,71,3.171,1.857,,633,12.412,2.802,4.094,academy,7,əˈkædəmɪ,7,183,10.223,2.265,183,10.223,2.265,,3372,16.748,3.528,4.224,Akademie,8,akademi:,7,2713,22.179,3.434,2713,22.179,3.434,,141,5.551,2.152,academia,,8,ɐkɐðɨmiɐ,8,2131,10.411,3.329,2131,10.411,3.329,,1668,21.379,3.222,4.330,academia,8,akaðemja,8,18056,58.673,4.257,2393,7.776,3.379,,639,15.361,2.806,
19,accelerate,accelerate,beschleunigen,acelerar,acelerar,V,1.000,0.308,0.700,0.700,0.308,0.700,0.700,0.231,0.231,1.000,0.969,0.521,0.650,0.686,0.549,0.650,0.657,0.547,0.521,0.889,0.984,0.410,0.675,0.693,0.423,0.675,0.679,0.380,0.368,0.944,accelerate,10,ækˈsɛɫəɹ̠eɪt,10,102,4.556,2.013,101,4.511,2.009,,65,1.275,1.820,3.111,accelerate,10,əkˈsɛləɹ̠eɪt,10,84,4.693,1.929,84,4.693,1.929,,482,2.394,2.684,3.38,beschleunigen,13,bəʃlɔʏnɪɡən,11,808,6.605,2.908,786,6.426,2.896,,156,6.142,2.196,acelerar,,8,ɐsɨɫɨɾaɾ,8,2804,13.699,3.448,2804,13.699,3.448,,623,7.985,2.795,3.902,acelerar,8,aθeleɾaɾ,8,3466,11.263,3.540,3434,11.159,3.536,,195,4.688,2.292,
20,acceleration,acceleration,Beschleunigung,aceleração,aceleración,N,1.000,0.286,0.667,0.750,0.286,0.667,0.750,0.214,0.286,0.636,0.974,0.499,0.656,0.641,0.499,0.656,0.617,0.469,0.467,0.705,0.987,0.388,0.662,0.695,0.388,0.662,0.682,0.336,0.374,0.670,acceleration,12,æksɛɫəˈɹ̠eɪʃən,12,73,3.260,1.869,69,3.082,1.845,,44,0.863,1.653,2.945,acceleration,12,əksɛləˈɹ̠eɪʃən,12,143,7.989,2.158,143,7.989,2.158,,498,2.473,2.698,3.394,Beschleunigung,14,bəʃlɔʏnɪɡʊŋ,11,860,7.031,2.935,860,7.031,2.935,,18,0.709,1.279,aceleração,,10,ɐsɨɫɨɾɐsɐ̃w,10,1828,8.930,3.262,1828,8.930,3.262,,169,2.166,2.230,3.336,aceleración,11,aθeleɾaθjon,11,2149,6.983,3.332,2016,6.551,3.305,,39,0.938,1.602,
