ID,AmE_wordform,BrE_wordform,DE_wordform,EP_wordform,ES_wordform,PoS (all),NLD_orthg_AmE_BrE,NLD_orthg_AmE_DE,NLD_orthg_AmE_EP,NLD_orthg_AmE_ES,NLD_orthg_BrE_DE,NLD_orthg_BrE_EP,NLD_orthg_BrE_ES,NLD_orthg_DE_EP,NLD_orthg_DE_ES,NLD_orthg_EP_ES,NLD_phonoL_AmE_BrE,NLD_phonoL_AmE_DE,NLD_phonoL_AmE_EP,NLD_phonoL_AmE_ES,NLD_phonoL_BrE_DE,NLD_phonoL_BrE_EP,NLD_phonoL_BrE_ES,NLD_phonoL_DE_EP,NLD_phonoL_DE_ES,NLD_phonoL_EP_ES,NLD_phonoG_AmE_BrE,NLD_phonoG_AmE_DE,NLD_phonoG_AmE_EP,NLD_phonoG_AmE_ES,NLD_phonoG_BrE_DE,NLD_phonoG_BrE_EP,NLD_phonoG_BrE_ES,NLD_phonoG_DE_EP,NLD_phonoG_DE_ES,NLD_phonoG_EP_ES,AmE_wordform,LEN_orth_AmE,phonetic_t_AmE,LEN_phon_AmE,ANC_abs,ANC_mln,ANC_log10(abs+1),ANC_abs_annotated,ANC_mln_annotated,ANC_log10(abs+1)_annotated,SpecPoS_annotated_ANC,SubtlexUS_abs,SubtlexUS_mln,SubtlexUS_log10(abs+1),SubtlexUS_zipf,BrE_wordform,LEN_orth_BrE,phonetic_t_BrE,LEN_phon_BrE,Celex_abs,Celex_mln,Celex_log10(abs+1),Celex_abs_annotated,Celex_mln_annotated,Celex_log10(abs+1)_annotated,SpecPoS_annotated_Celex,SubtlexUK_abs,SubtlexUK_mln,SubtlexUK_log10(abs+1),SubtlexUK_zipf,DE_wordform,LEN_orth_DE,phonetic_t_DE,LEN_phon_DE,dlexDB_abs,dlexDB_mln,dlexDB_log10(abs+1),dlexDB_abs_annotated,dlexDB_mln_annotated,dlexDB_log10(abs+1)_annotated,SpecPoS_annotated_dlexDB,SubtlexDE_abs,SubtlexDE_mln,SubtlexDE_log10(abs+1),EP_wordform,EP_OA (1990),LEN_orth_EP,phonetic_t_EP,LEN_phon_EP,P-Pal_abs,P-PAL_mln,P-Pal_log10(abs+1),P-Pal_abs_annotated,P-Pal_mln_annotated,P-Pal_log10(abs+1)_annotated,SpecPoS_annotated_P-Pal,SubtlexPT_abs,SubtlexPT_mln,SubtlexPT_log10(abs+1),SubtlexPT_zipf,ES_wordform,LEN_orth_ES,phonetic_t_ES,LEN_phon_ES,Espal_abs,Espal_mln,Espal_log10(abs+1),Espal_abs_annotated,Espal_mln_annotated,Espal_log10(abs+1)_annotated,SpecPoS_annotated_Espal,SubtlexES_abs,SubtlexES_mln,Subtlex_ES_log10(abs+1),
210,amount,amount,Betrag,quantia,importe,N,1.000,0.000,0.143,0.286,0.000,0.143,0.286,0.143,0.143,0.000,1.000,0.364,0.194,0.585,0.364,0.194,0.585,0.413,0.308,0.311,1.000,0.168,0.168,0.428,0.168,0.168,0.428,0.271,0.223,0.145,amount,6,əmaʊnt,6,3139,140.197,3.497,3064,136.847,3.486,,1262,24.745,3.101,4.393,amount,6,əmaʊnt,6,2281,127.430,3.358,2281,127.430,3.358,,23624,117.336,4.373,5.069,Betrag,6,bətʁa:k,6,2633,21.525,3.421,2625,21.460,3.419,,110,4.331,2.045,quantia,,7,kwɐ̃tiɐ,5,3275,16.000,3.515,3275,16.000,3.515,,734,9.408,2.866,3.974,importe,7,impoɾte,7,5173,16.810,3.714,4985,16.199,3.698,,673,16.178,2.829,
211,amount,amount,Menge,quantidade,cantidad,N,1.000,0.167,0.100,0.125,0.167,0.100,0.125,0.200,0.125,0.700,1.000,0.420,0.405,0.387,0.420,0.405,0.387,0.314,0.284,0.697,1.000,0.287,0.243,0.249,0.287,0.243,0.249,0.256,0.202,0.699,amount,6,əmaʊnt,6,3139,140.197,3.497,3064,136.847,3.486,,1262,24.745,3.101,4.393,amount,6,əmaʊnt,6,2281,127.430,3.358,2281,127.430,3.358,,23624,117.336,4.373,5.069,Menge,5,mɛŋə,4,9328,76.257,3.970,9284,75.897,3.968,,3801,149.652,3.580,quantidade,,10,kwɐ̃tiðaðɨ,8,9960,48.658,3.998,9960,48.658,3.998,,2068,26.506,3.316,4.423,cantidad,8,kantiðað,8,39777,129.255,4.600,39245,127.526,4.594,,1750,42.067,3.243,
212,amphibian,amphibian,Amphibie,anfíbio,anfibio,N,1.000,0.778,0.333,0.444,0.778,0.333,0.444,0.375,0.500,0.857,0.850,0.695,0.487,0.642,0.651,0.466,0.623,0.688,0.882,0.797,0.924,0.736,0.408,0.540,0.713,0.398,0.531,0.523,0.680,0.827,amphibian,9,æɱfɪbiən,8,10,0.447,1.041,10,0.447,1.041,,20,0.392,1.322,2.614,amphibian,9,æɱfɪbɪən,8,14,0.782,1.176,14,0.782,1.176,,120,0.596,2.083,2.779,Amphibie,8,aɱfi:bjə,7,4,0.033,0.699,4,0.033,0.699,,1,0.039,0.301,anfíbio,,7,ɐ̃fiβju,6,89,0.435,1.954,28,0.137,1.462,,51,0.654,1.716,2.815,anfibio,7,aɱfiβjo,7,334,1.085,2.525,41,0.133,1.623,,NA,NA,NA,
213,amplifier,amplifier,Verstärker,amplificador,amplificador,N,1.000,0.200,0.667,0.667,0.200,0.667,0.667,0.083,0.083,1.000,0.864,0.288,0.516,0.651,0.310,0.465,0.611,0.365,0.341,0.879,0.931,0.243,0.590,0.659,0.254,0.563,0.639,0.216,0.205,0.939,amplifier,9,æmpɫəfaɪəɹ̠,10,26,1.161,1.431,26,1.161,1.431,,16,0.314,1.230,2.522,amplifier,9,æmplɪfaɪə,9,66,3.687,1.826,66,3.687,1.826,,106,0.526,2.029,2.725,Verstärker,10,fɐʃtɛɐkɐ,8,94,0.768,1.978,94,0.768,1.978,,21,0.827,1.342,amplificador,,12,ɐ̃pɫifikɐðoɾ,11,326,1.593,2.515,320,1.563,2.507,,142,1.820,2.155,3.260,amplificador,12,amplifikaðoɾ,12,456,1.482,2.660,265,0.861,2.425,,69,1.659,1.845,
214,amplify,amplify,verstärken,amplificar,amplificar,V,1.000,0.000,0.600,0.600,0.000,0.600,0.600,0.000,0.000,1.000,0.968,0.347,0.471,0.634,0.319,0.495,0.656,0.453,0.476,0.878,0.984,0.161,0.534,0.617,0.149,0.547,0.628,0.205,0.215,0.938,amplify,7,æmpɫəfaɪ,8,126,5.628,2.104,125,5.583,2.100,,19,0.373,1.301,2.593,amplify,7,æmplɪfaɪ,8,16,0.894,1.230,16,0.894,1.230,,77,0.382,1.892,2.588,verstärken,10,fɐʃtɛɐkən,9,1375,11.241,3.139,1370,11.200,3.137,,116,4.567,2.068,amplificar,,10,ɐ̃pɫifiˈkaɾ,9,90,0.440,1.959,90,0.440,1.959,,34,0.436,1.544,2.639,amplificar,10,amplifikaɾ,10,170,0.552,2.233,169,0.549,2.230,,12,0.288,1.114,
215,amplitude,amplitude,Amplitude,amplitude,amplitud,N,1.000,1.000,1.000,0.889,1.000,1.000,0.889,1.000,0.889,0.889,0.978,0.729,0.583,0.816,0.751,0.561,0.794,0.763,0.821,0.722,0.989,0.859,0.779,0.852,0.871,0.767,0.841,0.878,0.855,0.804,amplitude,9,ˈæmpɫɪtjud,9,163,7.280,2.215,163,7.280,2.215,,6,0.118,0.845,2.137,amplitude,9,ˈæmplɪtju:d,9,25,1.397,1.415,25,1.397,1.415,,49,0.243,1.699,2.395,Amplitude,9,amplitu:də,9,312,2.551,2.496,310,2.534,2.493,,3,0.118,0.602,amplitude,,9,ɐ̃pɫituðɨ,8,1914,9.351,3.282,1914,9.351,3.282,,65,0.833,1.820,2.921,amplitud,8,amplituð,8,3397,11.039,3.531,3336,10.840,3.523,,26,0.625,1.431,
216,analogue,analogue,analog,análogo,análogo,ADJ,1.000,0.750,0.625,0.625,0.750,0.625,0.625,0.714,0.714,1.000,1.000,0.823,0.634,0.677,0.823,0.634,0.677,0.711,0.771,0.911,1.000,0.786,0.630,0.651,0.786,0.630,0.651,0.712,0.742,0.955,analogue,8,ænəɫɑɡ,6,45,2.010,1.663,45,2.010,1.663,N,5,0.098,0.778,2.070,analogue,8,ænəlɒɡ,6,32,1.788,1.519,32,1.788,1.519,N,174,0.864,2.243,2.939,analog,6,analo:k,6,796,6.507,2.901,796,6.507,2.901,,4,0.157,0.699,análogo,,7,ɐnaɫuγu,7,260,1.270,2.417,260,1.270,2.417,,5,0.064,0.778,1.807,análogo,7,analoγo,7,1239,4.026,3.093,1226,3.984,3.089,,9,0.216,1.000,
217,analogy,analogy,Analogie,analogia,analogía,N,1.000,0.750,0.750,0.750,0.750,0.750,0.750,0.875,0.750,0.875,0.980,0.774,0.755,0.714,0.753,0.737,0.697,0.698,0.800,0.841,0.990,0.762,0.752,0.732,0.752,0.744,0.723,0.785,0.775,0.858,analogy,7,ənæɫədʒi,7,243,10.853,2.387,234,10.451,2.371,,58,1.137,1.771,3.063,analogy,7,ənælədʒɪ,7,118,6.592,2.076,118,6.592,2.076,,429,2.131,2.633,3.329,Analogie,8,analoɡi:,7,917,7.497,2.963,917,7.497,2.963,,13,0.512,1.146,analogia,,8,ɐnɐɫuʒiɐ,8,602,2.941,2.780,602,2.941,2.780,,104,1.333,2.021,3.125,analogía,8,analoxia,8,2046,6.648,3.311,1977,6.424,3.296,,66,1.587,1.826,
218,analyze,analyse,analysieren,analisar,analizar,V,0.857,0.545,0.500,0.625,0.636,0.625,0.500,0.545,0.455,0.875,1.000,0.500,0.663,0.655,0.500,0.663,0.655,0.679,0.714,0.932,0.927,0.522,0.579,0.640,0.566,0.644,0.576,0.611,0.579,0.903,analyze,7,ænəɫaɪz,7,431,19.250,2.635,405,18.088,2.609,,165,3.235,2.220,3.512,analyse,7,ænəɫaɪz,7,176,9.832,2.248,176,9.832,2.248,,961,4.773,2.983,3.679,analysieren,11,analy:zi:ʁən,10,532,4.349,2.727,510,4.169,2.708,,140,5.512,2.149,analisar,,8,ɐnɐɫizaɾ,8,7639,37.319,3.883,7639,37.319,3.883,,1371,17.573,3.137,4.245,analizar,8,analiθaɾ,8,8212,26.685,3.915,8137,26.441,3.911,,350,8.413,2.545,
219,analysis,analysis,Analyse,análise,análisis,N,1.000,0.750,0.500,0.750,0.750,0.500,0.750,0.714,0.500,0.750,0.972,0.719,0.775,0.880,0.747,0.802,0.907,0.897,0.805,0.822,0.986,0.735,0.632,0.814,0.748,0.644,0.827,0.803,0.645,0.786,analysis,8,ənæɫəsɪs,8,8456,377.669,3.927,7558,337.561,3.878,,563,11.039,2.751,4.043,analysis,8,ənæɫɪsɪs,8,1101,61.508,3.042,1101,61.508,3.042,,2844,14.126,3.454,4.15,Analyse,7,analy:zə,7,4200,34.335,3.623,4186,34.221,3.622,,199,7.835,2.301,análise,,7,ɐnaɫizɨ,7,19871,97.077,4.298,19871,97.077,4.298,,1903,24.391,3.280,4.387,análisis,8,analis̺is̺,8,31302,101.716,4.496,27615,89.735,4.441,,1764,42.404,3.247,
220,analytical,analytical,analytisch,analítico,analítico,ADJ,1.000,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700,1.000,1.000,0.688,0.796,0.803,0.688,0.796,0.803,0.738,0.788,0.928,1.000,0.694,0.747,0.751,0.694,0.747,0.751,0.719,0.743,0.964,analytical,10,ænəɫɪtɪkəɫ,10,224,10.004,2.352,191,8.531,2.283,,30,0.588,1.491,2.783,analytical,10,ænəɫɪtɪkəɫ,10,82,4.581,1.919,82,4.581,1.919,,103,0.512,2.017,2.713,analytisch,10,analy:tɪʃ,8,321,2.624,2.508,321,2.624,2.508,,3,0.118,0.602,analítico,,9,ɐnɐɫitiku,9,230,1.124,2.364,230,1.124,2.364,,20,0.256,1.322,2.409,analítico,9,analitiko,9,759,2.466,2.881,732,2.379,2.865,,18,0.433,1.279,
221,analytics,analytics,Analytik,analítica,analítica,N,1.000,0.778,0.778,0.778,0.778,0.778,0.778,0.667,0.667,1.000,1.000,0.800,0.813,0.806,0.800,0.813,0.806,0.801,0.851,0.925,1.000,0.789,0.795,0.792,0.789,0.795,0.792,0.733,0.757,0.962,analytics,9,ænəɫɪtɪks,9,2,0.089,0.477,2,0.089,0.477,PN,NA,NA,NA,NA,analytics,9,ænəɫɪtɪks,9,NA,NA,NA,NA,NA,NA,,4,0.020,0.699,1.395,Analytik,8,analy:tɪk,8,168,1.373,2.228,168,1.373,2.228,,NA,NA,NA,analítica,,9,ɐnɐɫitikɐ,9,321,1.568,2.508,321,1.568,2.508,ADJ,37,0.474,1.580,2.676,analítica,9,analitika,9,1407,4.572,3.149,7,0.023,0.903,,21,0.505,1.342,
222,anarchy,anarchy,Anarchie,anarquia,anarquía,N,1.000,0.750,0.500,0.500,0.750,0.500,0.500,0.625,0.500,0.875,0.810,0.648,0.757,0.748,0.749,0.637,0.628,0.566,0.598,0.904,0.903,0.698,0.623,0.619,0.750,0.567,0.563,0.595,0.548,0.890,anarchy,7,ænəɹ̠ki,6,48,2.144,1.690,43,1.921,1.643,,103,2.020,2.017,3.309,anarchy,7,ænəkɪ,5,74,4.134,1.875,74,4.134,1.875,,287,1.425,2.459,3.155,Anarchie,8,anaɐçi:,6,453,3.703,2.657,453,3.703,2.657,,62,2.441,1.799,anarquia,,8,ɐnɐɾkiɐ,7,854,4.172,2.932,854,4.172,2.932,,219,2.807,2.342,3.448,anarquía,8,anaɾkia,7,1395,4.533,3.145,1268,4.120,3.103,,117,2.813,2.072,
223,anatomy,anatomy,Anatomie,anatomia,anatomía,N,1.000,0.750,0.750,0.750,0.750,0.750,0.750,0.875,0.750,0.875,0.937,0.831,0.742,0.752,0.853,0.762,0.772,0.769,0.850,0.891,0.968,0.790,0.746,0.751,0.801,0.756,0.761,0.821,0.799,0.883,anatomy,7,ənæɾəmi,7,97,4.332,1.991,82,3.662,1.919,,163,3.196,2.215,3.507,anatomy,7,ənætəmɪ,7,146,8.156,2.167,146,8.156,2.167,,706,3.507,2.849,3.545,Anatomie,8,anatomi:,7,442,3.613,2.646,442,3.613,2.646,,38,1.496,1.591,anatomia,,8,ɐnɐtumiɐ,8,357,1.744,2.554,357,1.744,2.554,,423,5.422,2.627,3.734,anatomía,8,anatomia,8,2254,7.324,3.353,1714,5.570,3.234,,120,2.885,2.083,
224,ancestor,ancestor,Vorfahr,antepassado,antepasado,N,1.000,0.125,0.364,0.400,0.125,0.364,0.400,0.091,0.100,0.909,0.875,0.347,0.488,0.582,0.397,0.578,0.566,0.332,0.282,0.807,0.936,0.231,0.425,0.488,0.253,0.467,0.481,0.205,0.187,0.857,ancestor,8,ænsɛstəɹ̠,8,193,8.620,2.288,189,8.441,2.279,,86,1.686,1.940,3.231,ancestor,8,ænsɛstə,7,104,5.810,2.021,104,5.810,2.021,,483,2.399,2.685,3.381,Vorfahr,7,fo:ɐfa:ɐ,6,49,0.401,1.699,49,0.401,1.699,,5,0.197,0.778,antepassado,,11,ɐ̃tɨpɐsaðu,9,383,1.871,2.584,349,1.705,2.544,,89,1.141,1.954,3.057,antepasado,10,antepas̺aðo,10,815,2.648,2.912,770,2.502,2.887,,13,0.313,1.146,
225,ancestor,ancestor,Vorfahre,antepassado,antepasado,N,1.000,0.000,0.364,0.400,0.000,0.364,0.400,0.091,0.100,0.909,0.875,0.350,0.488,0.582,0.400,0.578,0.566,0.436,0.389,0.807,0.936,0.162,0.425,0.488,0.183,0.467,0.481,0.252,0.236,0.857,ancestor,8,ænsɛstəɹ̠,8,193,8.620,2.288,189,8.441,2.279,,86,1.686,1.940,3.231,ancestor,8,ænsɛstə,7,104,5.810,2.021,104,5.810,2.021,,483,2.399,2.685,3.381,Vorfahre,8,fo:ɐfa:ʁə,7,13,0.106,1.146,13,0.106,1.146,V,13,0.512,1.146,antepassado,,11,ɐ̃tɨpɐsaðu,9,383,1.871,2.584,349,1.705,2.544,,89,1.141,1.954,3.057,antepasado,10,antepas̺aðo,10,815,2.648,2.912,770,2.502,2.887,,13,0.313,1.146,
226,anchor,anchor,Anker,âncora,ancla,N,1.000,0.500,0.500,0.500,0.500,0.500,0.500,0.333,0.400,0.500,0.800,0.740,0.428,0.580,0.925,0.583,0.708,0.619,0.755,0.611,0.897,0.616,0.464,0.539,0.699,0.541,0.601,0.469,0.568,0.554,anchor,6,æŋkəɹ̠,5,178,7.950,2.253,100,4.466,2.004,,378,7.412,2.579,3.870,anchor,6,æŋkə,4,113,6.313,2.057,89,4.972,1.954,,949,4.714,2.978,3.673,Anker,5,aŋkɐ,4,612,5.003,2.787,610,4.987,2.786,,113,4.449,2.057,âncora,,6,ɐ̃kuɾɐ,5,524,2.560,2.720,524,2.560,2.720,,307,3.935,2.489,3.595,ancla,5,aŋkla,5,710,2.307,2.852,623,2.024,2.795,,86,2.067,1.940,
227,anchovy,anchovy,Anchovis,anchova,boquerón,N,1.000,0.750,0.857,0.000,0.750,0.857,0.000,0.750,0.000,0.000,0.919,0.623,0.580,0.327,0.639,0.595,0.336,0.595,0.428,0.441,0.959,0.685,0.713,0.152,0.694,0.721,0.156,0.671,0.195,0.201,anchovy,7,æntʃoʊvi,7,3,0.134,0.602,2,0.089,0.477,,7,0.137,0.903,2.195,anchovy,7,æntʃəvɪ,6,14,0.782,1.176,14,0.782,1.176,,260,1.291,2.417,3.112,Anchovis,8,anʃo:vɪs,7,14,0.114,1.176,14,0.114,1.176,,12,0.472,1.114,anchova,,7,ɐ̃ʃovɐ,5,31,0.151,1.505,31,0.151,1.505,,4,0.051,0.699,1.710,boquerón,8,bokeɾon,7,316,1.027,2.501,49,0.159,1.699,,NA,NA,NA,
228,Andalusian,Andalusian,Andalusier,andaluz,andaluz,N,1.000,0.800,0.600,0.600,0.800,0.600,0.600,0.600,0.600,1.000,0.860,0.720,0.550,0.644,0.793,0.589,0.693,0.682,0.863,0.765,0.929,0.759,0.575,0.622,0.797,0.594,0.646,0.640,0.726,0.879,Andalusian,10,ændəɫusiən,10,9,0.402,1.000,9,0.402,1.000,PN,NA,NA,NA,NA,Andalusian,10,ændəlu:sɪən,10,NA,NA,NA,NA,NA,NA,,9,0.045,1.000,1.696,Andalusier,10,andaluzɪɐ,9,12,0.098,1.114,12,0.098,1.114,,1,0.039,0.301,andaluz,,7,ɐ̃dɐɫuʃ,6,335,1.637,2.526,81,0.396,1.914,,10,0.128,1.041,2.108,andaluz,7,andaluθ,7,4217,13.703,3.625,3295,10.707,3.518,,6,0.144,0.845,
229,Andalusian,Andalusian,andalusisch,andaluz,andaluz,ADJ,1.000,0.727,0.600,0.600,0.727,0.600,0.600,0.545,0.545,1.000,0.860,0.808,0.550,0.644,0.869,0.589,0.693,0.617,0.767,0.765,0.929,0.767,0.575,0.622,0.797,0.594,0.646,0.581,0.652,0.879,Andalusian,10,ændəɫusiən,10,9,0.402,1.000,9,0.402,1.000,PN,NA,NA,NA,NA,Andalusian,10,ændəlu:sɪən,10,NA,NA,NA,NA,NA,NA,,9,0.045,1.000,1.696,andalusisch,11,andaluzɪʃ,9,1,0.008,0.301,1,0.008,0.301,,NA,NA,NA,andaluz,,7,ɐ̃dɐɫuʃ,6,335,1.637,2.526,254,1.241,2.407,,10,0.128,1.041,2.108,andaluz,7,andaluθ,7,4217,13.703,3.625,3295,10.707,3.518,N,6,0.144,0.845,
230,angel,angel,Engel,anjo,ángel,N,1.000,0.800,0.400,0.800,0.800,0.400,0.800,0.200,0.800,0.200,1.000,0.620,0.376,0.615,0.620,0.376,0.615,0.479,0.715,0.386,1.000,0.708,0.388,0.705,0.708,0.388,0.705,0.332,0.757,0.290,angel,5,eɪndʒəɫ,6,5397,241.045,3.732,119,5.315,2.079,,3992,78.275,3.601,4.893,angel,5,eɪndʒəɫ,6,194,10.838,2.290,194,10.838,2.290,,3917,19.455,3.593,4.289,Engel,5,ɛŋəl,4,2476,20.242,3.394,1098,8.976,3.041,,1001,39.411,3.001,anjo,,4,ɐ̃ʒu,3,1571,7.675,3.196,1571,7.675,3.196,,2558,32.787,3.408,4.516,ángel,5,aŋxel,5,18246,59.290,4.261,4499,14.619,3.653,,1297,31.178,3.113,
231,angle,angle,Winkel,ângulo,ángulo,N,1.000,0.167,0.500,0.500,0.167,0.500,0.500,0.167,0.167,0.833,1.000,0.765,0.488,0.757,0.765,0.488,0.757,0.371,0.522,0.763,1.000,0.435,0.494,0.623,0.435,0.494,0.623,0.265,0.333,0.798,angle,5,æŋɡəɫ,5,514,22.957,2.712,477,21.304,2.679,,761,14.922,2.882,4.174,angle,5,æŋɡəɫ,5,430,24.022,2.634,410,22.905,2.614,,5647,28.048,3.752,4.448,Winkel,6,vɪŋkəl,6,2486,20.323,3.396,2472,20.209,3.393,,285,11.221,2.456,ângulo,,6,ɐ̃ɡuɫu,5,1461,7.138,3.165,1461,7.138,3.165,,924,11.843,2.966,4.074,ángulo,6,aŋɡulo,6,5085,16.524,3.706,4982,16.189,3.697,,421,10.120,2.625,
232,anglo-saxon,anglo-saxon,Angelsachse,anglo-saxão,anglosajón,N,1.000,0.364,0.818,0.727,0.364,0.818,0.727,0.364,0.455,0.636,0.982,0.709,0.766,0.816,0.709,0.764,0.803,0.748,0.560,0.615,0.991,0.527,0.792,0.771,0.527,0.791,0.765,0.544,0.507,0.625,anglo-saxon,11,æŋɡɫoʊsæksən,12,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,anglo-saxon,11,æŋɡləʊsæksən,12,NA,NA,NA,NA,NA,NA,,708,3.517,2.851,3.546,Angelsachse,11,aŋlzaksə,8,11,0.090,1.079,11,0.090,1.079,,NA,NA,NA,anglo-saxão,,11,ɐ̃ɡɫɔsaksɐ̃w,10,24,0.117,1.398,24,0.117,1.398,,9,0.115,1.000,2.062,anglosajón,10,aŋɡlos̺axon,10,937,3.045,2.972,5,0.016,0.778,,5,0.120,0.778,
233,anglo-saxon,anglo-saxon,angelsächsisch,anglo-saxónico,anglosajón,ADJ,1.000,0.357,0.714,0.727,0.357,0.714,0.727,0.357,0.357,0.643,0.982,0.696,0.621,0.816,0.696,0.619,0.803,0.489,0.561,0.537,0.991,0.517,0.667,0.771,0.517,0.666,0.765,0.421,0.455,0.589,anglo-saxon,11,æŋɡɫoʊsæksən,12,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,anglo-saxon,11,æŋɡləʊsæksən,12,NA,NA,NA,NA,NA,NA,,708,3.517,2.851,3.546,angelsächsisch,14,anŋəlzɛkzɪʃ,11,16,0.131,1.230,16,0.131,1.230,,NA,NA,NA,anglo-saxónico,,14,ɐ̃ɡɫɔsak'sɔniku,14,205,1.002,2.314,205,1.002,2.314,,1,0.013,0.301,1.107,anglosajón,10,aŋɡlos̺axon,10,937,3.045,2.972,914,2.970,2.961,,5,0.120,0.778,
234,animal,animal,Tier,animal,animal,N,1.000,0.167,1.000,1.000,0.167,1.000,1.000,0.167,0.167,1.000,1.000,0.260,0.883,0.900,0.260,0.883,0.900,0.283,0.283,0.963,1.000,0.212,0.941,0.949,0.212,0.941,0.949,0.224,0.224,0.981,animal,6,ˈænɪməɫ,6,1456,65.029,3.163,1228,54.846,3.090,,2320,45.490,3.366,4.658,animal,6,ænɪməɫ,6,2040,113.966,3.310,2040,113.966,3.310,,17205,85.454,4.236,4.931,Tier,4,ti:ɐ,3,5504,44.996,3.741,5471,44.726,3.738,,873,34.371,2.942,animal,,6,ɐnimaɫ,6,5186,25.335,3.715,3697,18.061,3.568,,4841,62.048,3.685,4.793,animal,6,animal,6,20683,67.209,4.316,19770,64.242,4.296,,1864,44.808,3.271,
235,animation,animation,Animation,animação,animación,N,1.000,1.000,0.667,0.778,1.000,0.667,0.778,0.667,0.778,0.556,0.972,0.691,0.739,0.724,0.715,0.766,0.748,0.680,0.944,0.713,0.986,0.839,0.702,0.751,0.852,0.716,0.763,0.674,0.859,0.633,animation,9,ænəmeɪʃən,9,103,4.600,2.017,99,4.422,2.000,,62,1.216,1.799,3.091,animation,9,ænɪmeɪʃən,9,41,2.291,1.623,41,2.291,1.623,,739,3.670,2.869,3.565,Animation,9,animaʦjo:n,9,55,0.450,1.748,55,0.450,1.748,,379,14.922,2.580,animação,,8,ɐnimɐsɐ̃w,8,8308,40.588,3.920,8308,40.588,3.920,,256,3.281,2.410,3.516,animación,9,animaθjon,9,4776,15.520,3.679,4506,14.642,3.654,,106,2.548,2.029,
236,anise,anise,Anis,anis,anís,N,1.000,0.800,0.800,0.600,0.800,0.800,0.600,1.000,0.750,0.750,1.000,0.975,0.890,0.940,0.975,0.890,0.940,0.884,0.965,0.919,1.000,0.885,0.844,0.762,0.885,0.844,0.762,0.941,0.854,0.833,anise,5,ænɪs,4,4,0.179,0.699,4,0.179,0.699,,3,0.059,0.602,1.894,anise,5,ænɪs,4,5,0.279,0.778,5,0.279,0.778,,294,1.460,2.470,3.166,Anis,4,aˈnɪs,4,57,0.466,1.763,33,0.270,1.531,,5,0.197,0.778,anis,,4,ɐniʃ,4,37,0.181,1.580,37,0.181,1.580,,35,0.449,1.556,2.652,anís,4,anis̺,4,598,1.943,2.777,481,1.563,2.683,,10,0.240,1.041,
237,ankle,ankle,Knöchel,tornozelo,tobillo,N,1.000,0.286,0.222,0.143,0.286,0.222,0.143,0.222,0.000,0.444,1.000,0.515,0.343,0.208,0.515,0.343,0.208,0.479,0.409,0.511,1.000,0.396,0.281,0.175,0.396,0.281,0.175,0.344,0.187,0.477,ankle,5,æŋkəɫ,5,146,6.521,2.167,140,6.253,2.149,,409,8.020,2.613,3.905,ankle,5,æŋkəɫ,5,185,10.335,2.270,185,10.335,2.270,,1767,8.776,3.247,3.943,Knöchel,7,knœçəl,6,237,1.937,2.377,234,1.913,2.371,,239,9.410,2.380,tornozelo,,9,tuɾnuzeɫu,9,281,1.373,2.450,281,1.373,2.450,,655,8.395,2.817,3.924,tobillo,7,toβiʝo,6,1262,4.101,3.101,1247,4.052,3.096,,384,9.231,2.585,
238,anniversary,anniversary,Jahrestag,aniversário,aniversario,N,1.000,0.182,0.636,0.727,0.182,0.636,0.727,0.182,0.182,0.909,0.843,0.396,0.698,0.704,0.318,0.644,0.654,0.380,0.378,0.927,0.920,0.284,0.667,0.716,0.248,0.640,0.690,0.277,0.276,0.918,anniversary,11,ænəvɜɹ̠səɹ̠i,10,419,18.714,2.623,418,18.669,2.622,,939,18.412,2.973,4.265,anniversary,11,ænɪvɜ:səɹ̠ɪ,9,103,5.754,2.017,103,5.754,2.017,,3190,15.844,3.504,4.2,Jahrestag,9,ja:ʁəsta:k,8,684,5.592,2.836,684,5.592,2.836,,126,4.961,2.104,aniversário,,11,ɐnivɨɾsaɾju,11,9654,47.163,3.985,9654,47.163,3.985,,6232,79.877,3.795,4.902,aniversario,11,aniβeɾs̺aɾjo,11,7474,24.287,3.874,1083,3.519,3.035,,905,21.755,2.957,
239,annotation,annotation,Notiz,apontamento,apunte,N,1.000,0.400,0.273,0.200,0.400,0.273,0.200,0.182,0.000,0.455,1.000,0.492,0.653,0.561,0.492,0.653,0.561,0.454,0.397,0.573,1.000,0.445,0.451,0.369,0.445,0.451,0.369,0.311,0.182,0.513,annotation,10,ˌænəˈteɪʃən,9,469,20.947,2.672,431,19.250,2.635,,NA,NA,NA,NA,annotation,10,ˌænəˈteɪʃən,9,2,0.112,0.477,2,0.112,0.477,,5,0.025,0.778,1.474,Notiz,5,noti:ʦ,5,1011,8.265,3.005,1011,8.265,3.005,,156,6.142,2.196,apontamento,,11,ɐpõtɐˈmẽtu,9,292,1.427,2.467,292,1.427,2.467,,23,0.295,1.380,2.470,apunte,6,apunte,6,629,2.044,2.799,616,2.002,2.790,V,65,1.563,1.820,
